Variety,Palette
Agiorgitiko,"['Raspberry', 'Blackberry', 'Plum Sauce', 'Black Pepper', 'Nutmeg']"
Aglianico,"['White Pepper', ' Black Cherry', ' Smoke', ' Game', ' Spiced Plum']"
Airén,"['Apple', 'Pineapple', 'Grapefruit', 'Banana', 'Rose']"
Albariño (Alvarinho),"['Lemon Zest', ' Grapefruit', ' Honeydew', ' Nectarine', ' Saline']"
Alicante Bouschet,"['Black Cherry', 'Blackberry Bramble', 'Black Plum', 'Black Pepper', 'Sweet Tobacco']"
Aligoté,"['Apple', ' Unripe Peach', ' White Flower', ' Smoke', 'Fresh Herbs']"
Arinto,"['Lemon Zest', ' Grapefruit', ' Hazelnut', ' Beeswax', ' Chamomile']"
Arneis,"['Peach', 'Yellow Apple', 'Honey', 'Raw Almond', 'Nutmeg']"
Assyrtiko,"['Lime', ' Passion Fruit', ' Beeswax', ' Flint', ' Saline']"
Baga,"['Blackberry', 'Black Currant', 'Dried Cherry', 'Cocoa', 'Tar']"
Barbera,"['Tart Cherry', ' Licorice', ' Blackberry', ' Dried Herbs', ' Black Pepper']"
Blaufränkisch,"['Blackberry Bramble', ' Black Cherry', ' Dark Chocolate', ' Allspice', ' Pepper']"
Bobal,"['Blackberry', 'Pomegranate', 'Licorice', 'Black Tea', 'Cocoa Powder']"
Bonarda,"['Plum Sauce', ' Cherry', ' Cardamom', ' Fig Paste', ' Graphite']"
Brachetto,"['Candied Strawberry', 'Orange Zest', 'Black Currant', 'Apricot', 'Cream']"
Cabernet Franc,"['Strawberry', 'Raspberry', 'Bell Pepper', 'Crushed Gravel', 'Chili Pepper']"
Cabernet Sauvignon,"['Black Cherry', 'Black Currant', 'Cedar', 'Baking Spices', 'Graphite']"
Carignan,"['Dried Cranberry', ' Raspberry', ' Tobacco Leaf', ' Baking Spices', ' Cured Meat']"
Carménère,"['Raspberry', 'Bell Pepper', 'Black Plum', 'Vanilla', 'Paprika']"
Castelão,"['Red Currant', ' Plum', ' Strawberries', ' Dried Meat', ' Mocha']"
Catarratto,"['Lemon', 'Apple', 'Peach', 'Dried Flowers', 'Honey']"
Catawba,"['Grape', ' Watermelon Candy', ' Strawberry Jam', ' Violet', ' Petrol']"
Chardonnay,"['Lemon', 'Yellow Apple', 'Butter', 'Vanilla', 'Pineapple']"
Chasselas,"['Red Apple', 'Apple Blossom', 'Melon', 'Mint', 'Smoke']"
Chenin Blanc,"['Quince', 'Yellow Apple', 'Pear', 'Chamomile', 'Honey']"
Cinsault,"['Raspberry', ' Red Currant', ' Tart Cherry', ' Violet', ' Black Tea']"
Colombard,"['Green Apple', 'Honeydew', 'White Peach', 'Lemongrass', 'Almond']"
Concord,"['Grape', ' Plum Sauce', ' Musk', ' Potting Soil', ' Cumin']"
Cortese,"['Meyer Lemon', ' Gala Apple', ' Honeydew', ' Seashell', ' Almond']"
Corvina,"['Tart Cherry', 'Cinnamon', 'Chocolate', 'White Pepper', 'Green Almond']"
Cserszegi Fűszeres,"['Peach', ' Elderflower', ' Grape', ' Lychee', ' Rose']"
Dolcetto,"['Plum', ' Blackberry', ' Cocoa', ' Black Pepper', ' Violet']"
Encruzado,"['Grapefruit', ' Lemon Zest', ' Hazelnut', ' Ginger', ' Resin']"
Erbaluce,"['Starfruit', ' Gooseberry', ' White Pepper', ' Honeydew', ' Almond']"
Falanghina,"['Lemon', ' Citrus Blossom', ' Peach', ' Honey', ' Almond']"
Fernão Pires,"['Lime', ' Peach', ' Orange Blossom', ' Honeysuckle', ' Clove']"
Fiano,"['Honeydew', ' Asian Pear', ' Hazelnut', ' Orange Peel', ' Pine']"
Frappato,"['Dried Strawberry', ' Pomegranate', ' White Pepper', ' Tobacco', ' Clove']"
Friulano,"['Grapefruit', 'Green Pear', 'White Peach', 'Tarragon', 'Crushed Gravel']"
Furmint,"['Meyer Lemon', 'Green Apple', 'Ginger', 'Smoke', 'Pepperocini']"
Gaglioppo,"['Raspberry', ' Red Currant', ' Clay Pot', ' Leather', ' Tobacco']"
Gamay,"['Pomegranate', ' Blackberry Bramble', ' Violet', ' Potting Soil', ' Peony']"
Garganega,"['Peach', 'Honeydew', 'Tangerine', 'Marjoram', 'Saline']"
