Ingredient,Flavors
Egg,"['burnt', 'orange', 'rose', 'waxy', 'chemical', 'metal', 'aldehydic']"
Bakery Products,"['burnt', 'orange', 'rose', 'waxy', 'chemical', 'metal', 'aldehydic']"
Bread,"['burnt', 'orange', 'rose', 'waxy', 'chemical', 'metal', 'aldehydic']"
Rye Bread,"['green', 'burnt', 'orange', 'rose', 'waxy', 'chemical', 'metal']"
Wheaten Bread,"['green', 'hazelnut', 'roast', 'roasted', 'powdery', 'potato', 'must']"
White Bread,"['green', 'cocoa', 'hazelnut', 'roast', 'roasted', 'powdery', 'potato']"
Wholewheat Bread,"['green', 'cocoa', 'hazelnut', 'roast', 'roasted', 'powdery', 'potato']"
Barley,"['sweet', 'green', 'fat', 'fatty', 'orange', 'waxy', 'medicine']"
Crispbread,"['sweet', 'green', 'fat', 'fatty', 'orange', 'waxy', 'medicine']"
Malt,"['sweet', 'green', 'fat', 'fatty', 'orange', 'waxy', 'medicine']"
Oats,"['sweet', 'green', 'medicine', 'fat', 'fatty', 'orange', 'waxy']"
Rice,"['sweet', 'green', 'medicine', 'herbal', 'fat', 'fatty', 'orange']"
Corn,"['sweet', 'green', 'medicine', 'herbal', 'fat', 'fatty', 'orange']"
Corn Oil,"['sweet', 'green', 'herbal', 'medicine', 'fat', 'fatty', 'orange']"
Popcorn,"['sweet', 'green', 'herbal', 'medicine', 'fat', 'fatty', 'orange']"
Sweetcorn,"['sweet', 'green', 'fat', 'fatty', 'orange', 'herbal', 'medicine']"
Butter,"['sweet', 'green', 'fat', 'fatty', 'orange', 'herbal', 'medicine']"
Buttermilk,"['sweet', 'green', 'fat', 'fatty', 'orange', 'herbal', 'medicine']"
Cheese,"['sweet', 'green', 'fatty', 'fat', 'orange', 'herbal', 'medicine']"
Blue Cheese,"['sweet', 'green', 'fatty', 'fat', 'orange', 'herbal', 'medicine']"
Camembert Cheese,"['sweet', 'green', 'fatty', 'fat', 'orange', 'herbal', 'medicine']"
Cheddar Cheese,"['sweet', 'green', 'fatty', 'fat', 'orange', 'herbal', 'medicine']"
Comte Cheese,"['sweet', 'green', 'fatty', 'fat', 'orange', 'herbal', 'medicine']"
Cottage Cheese,"['sweet', 'green', 'fatty', 'fat', 'orange', 'herbal', 'medicine']"
Cream Cheese,"['green', 'sweet', 'fatty', 'fat', 'orange', 'herbal', 'medicine']"
Domiati Cheese,"['green', 'sweet', 'fatty', 'fat', 'orange', 'herbal', 'medicine']"
Emmental Cheese,"['green', 'sweet', 'fatty', 'fat', 'orange', 'herbal', 'medicine']"
Feta Cheese,"['green', 'sweet', 'fatty', 'fat', 'orange', 'herbal', 'medicine']"
